ID,Name,Manufacturer,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Engine CC,Power,Seats,Mileage Km/L,Price,Maintenance,actual cost
2459,Mobilio RS,Honda,2015,31250,Diesel,Manual,1,1498,98.6,7,24.5,650000.0,40000,1000000
2460,Innova 2.5,Toyota,2014,77795,Diesel,Manual,1,2494,100.6,8,12.99,950000.0,85000,2000000
2461,XF 3.0,Jaguar,2015,47759,Diesel,Automatic,1,2993,270.9,5,14.74,3180000.0,350000,6200000
2462,Etios Petrol,Toyota,2013,67620,Petrol,Manual,2,1496,88.8,5,17.6,420000.0,25000,700000
2463,Beat Diesel,Chevrolet,2013,44378,Diesel,Manual,1,936,57.6,5,25.44,385000.0,16500,500000
2464,Accord 2.4,Honda,2012,64709,Petrol,Manual,2,2354,177.6,5,12.8,600000.0,160000,4600000
2465,Alto LXi,Maruti,2007,76161,Petrol,Manual,1,796,46.3,5,19.7,165000.0,20000,400000
2466,Octavia Ambition,Skoda,2013,58410,Diesel,Automatic,1,1968,141.0,5,19.3,1450000.0,140000,3000000
2467,Innova 2.5,Toyota,2011,72000,Diesel,Manual,1,2494,102.0,7,12.8,710000.0,85000,2000000
2468,A4 35,Audi,2016,11000,Diesel,Automatic,1,1968,174.33,5,17.11,2800000.0,325000,5500000
2469,Vitara Brezza,Maruti,2017,45362,Diesel,Manual,1,1248,88.5,5,24.3,938000.0000000001,39170,1125000
2470,Grand i10,Hyundai,2016,59767,Petrol,Manual,1,1197,82.0,5,18.9,478000.0,22600,725000
2471,Corolla DX,Toyota,2003,70000,Petrol,Manual,2,1794,125.0,5,13.4,170000.0,50000,1600000
2472,Hexa XTA,Tata,2019,14233,Diesel,Automatic,1,2179,153.86,7,17.6,1785000.0000000002,60000,1600000
2473,i20 2015-2017,Hyundai,2010,72000,Petrol,Manual,2,1197,80.0,5,17.0,275000.0,27500,725000
2474,Verna 1.6,Hyundai,2014,11000,Petrol,Manual,1,1591,121.3,5,17.01,595000.0,33350,1425000
2475,Omni 8,Maruti,2011,39000,Petrol,Manual,1,796,35.0,5,14.0,150000.0,25000,650000
2476,Alto 800,Maruti,2019,19855,Petrol,Manual,1,796,47.3,5,24.7,380000.0,20000,400000
2477,New C-Class,MercedesBenz,2017,20149,Diesel,Automatic,1,2143,167.62,5,19.27,3850000.0,650000,7000000
2478,i10 Era,Hyundai,2011,70000,Petrol,Manual,1,1086,68.05,5,19.81,215000.0,22600,725000
2479,Superb Style,Skoda,2010,62004,Petrol,Automatic,2,1798,177.46,5,14.67,375000.0,250000,5400000
2480,Vento 1.5,Volkswagen,2016,25500,Diesel,Automatic,1,1498,108.5,5,21.5,894999.9999999999,35484,1300000
2481,Swift VDI,Maruti,2013,68800,Diesel,Manual,1,1248,74.0,5,17.8,500000.0,39160,775000
2482,Civic 2010-2013,Honda,2010,61700,Petrol,Manual,1,1799,130.2,5,14.8,295000.0,36600,1425000
2483,3 Series,BMW,2010,59660,Petrol,Automatic,1,1995,154.0,5,12.05,1049000.0,450000,5500000
2484,Santro Xing,Hyundai,2007,69775,Petrol,Manual,2,1086,62.1,5,17.92,185000.0,26130,500000
2485,Swift VDI,Maruti,2016,51787,Diesel,Manual,1,1248,74.0,5,17.8,645000.0,39160,775000
2486,Accord 2001-2003,Honda,2009,88000,Petrol,Automatic,1,2354,142.0,5,11.1,525000.0,160000,4600000
2487,Ertiga VDI,Maruti,2014,47052,Diesel,Manual,1,1248,88.76,7,20.77,599000.0,49850,1050000
2488,Fiesta Classic,Ford,2015,69749,Diesel,Manual,1,1388,67.0,5,18.6,382000.0,35000,900000
2489,Q7 3.0,Audi,2012,79000,Diesel,Automatic,1,2967,241.4,7,12.07,3900000.0,345000,8000000
2490,A4 35,Audi,2016,39644,Diesel,Automatic,1,1968,174.33,5,17.11,2575000.0,325000,5500000
2491,Indica Vista,Tata,2012,137800,Diesel,Manual,1,1248,74.0,5,22.3,220000.00000000003,25000,500000
2492,Verna CRDi,Hyundai,2008,120000,Diesel,Manual,2,1493,110.0,5,18.1,200000.0,37450,1425000
2493,E-Class E,MercedesBenz,2018,11000,Diesel,Automatic,1,1950,194.0,5,16.1,5650000.0,600000,8000000
2494,3 Series,BMW,2014,18600,Diesel,Automatic,2,1995,190.0,5,22.69,2100000.0,450000,5500000
2495,Grand i10,Hyundai,2014,116905,Diesel,Manual,1,1120,70.0,5,24.0,400000.0,28000,725000
2496,i10 Sportz,Hyundai,2011,32824,Petrol,Automatic,1,1197,78.9,5,16.95,383000.0,22600,725000
2497,Swift VXi,Maruti,2016,19148,Petrol,Manual,1,1197,85.0,5,16.1,589000.0,39160,775000
2498,Santro Xing,Hyundai,2010,35008,Petrol,Manual,1,1086,62.1,5,17.92,136000.0,26130,500000
2499,6 Series,BMW,2013,21000,Diesel,Automatic,2,2993,313.0,4,17.54,4400000.0,525000,7800000
2500,SX4 Green,Maruti,2014,53000,CNG,Manual,1,1586,85.7,5,22.1,326000.0,35000,800000
2501,Verna 1.4,Hyundai,2016,36000,Petrol,Manual,1,1396,105.5,5,17.43,800000.0,33350,1425000
2502,Swift Dzire,Maruti,2012,56121,Diesel,Manual,1,1248,74.0,5,23.4,425000.0,39160,850000
2503,Swift VDI,Maruti,2018,30000,Diesel,Manual,1,1248,74.0,5,28.4,600000.0,39160,775000
2504,Octavia 2.0,Skoda,2016,31021,Diesel,Automatic,1,1968,141.0,5,19.5,1661000.0,140000,3000000
2505,Duster 110PS,Renault,2013,52600,Diesel,Manual,1,1461,108.45,5,19.6,726000.0,35700,1250000
2506,Scorpio 2.6,Mahindra,2005,60000,Diesel,Manual,1,2179,120.0,8,10.5,400000.0,60000,1500000
2507,5 Series,BMW,2016,44001,Diesel,Automatic,1,1995,190.0,5,18.12,3451000.0,500000,7200000
2508,Wagon R,Maruti,2003,101000,Petrol,Manual,3,1061,64.0,5,17.3,95000.0,27670,750000
2509,Wagon R,Maruti,2007,84169,Petrol,Manual,1,1061,64.0,5,14.0,220000.00000000003,27670,750000
2510,i20 Sportz,Hyundai,2017,14001,Petrol,Manual,1,1197,81.83,5,18.6,575000.0,27500,725000
2511,Santro Xing,Hyundai,2005,100000,CNG,Manual,3,1086,74.0,5,17.0,120000.0,26130,500000
2512,Rover Discovery,Land,2016,59000,Diesel,Automatic,1,2993,255.0,7,18.0,3675000.0,500000,9000000
2513,New C-Class,MercedesBenz,2009,29000,Petrol,Automatic,2,1796,178.0,5,11.7,1000000.0,650000,7000000
2514,Sunny 2011-2014,Nissan,2012,38800,Diesel,Manual,1,1461,84.8,5,21.64,405000.0,35000,900000
2515,Q7 3.0,Audi,2011,98000,Diesel,Automatic,1,2967,241.4,7,12.07,2200000.0,345000,8000000
2516,CLA 200,MercedesBenz,2017,20969,Diesel,Automatic,1,2143,136.0,5,17.9,2787000.0,300000,5000000
2517,Vitara Brezza,Maruti,2018,2900,Diesel,Manual,1,1248,88.5,5,24.3,875000.0,39170,1125000
2518,Swift Dzire,Maruti,2016,69000,Diesel,Manual,1,1248,73.9,5,19.3,479000.0,39160,850000
2519,Rapid 1.5,Skoda,2018,5833,Diesel,Manual,1,1498,108.4,5,21.13,1192000.0,35130,1200000
2520,Q7 35,Audi,2016,28733,Diesel,Automatic,2,2967,241.4,7,12.07,5311000.0,345000,8000000
2521,Wagon R,Maruti,2006,145000,Petrol,Manual,1,998,67.1,5,18.9,114999.99999999999,27670,750000
2522,City i,Honda,2014,71000,Diesel,Manual,1,1498,98.6,5,25.1,745000.0,36600,1425000
2523,EON Magna,Hyundai,2017,12000,Petrol,Manual,1,814,55.2,5,21.1,350000.0,25000,400000
2524,E-Class 2015-2017,MercedesBenz,2018,21603,Diesel,Automatic,1,2987,265.0,5,13.0,7015000.000000001,600000,8000000
2525,3 Series,BMW,2013,58000,Diesel,Automatic,1,1995,170.0,5,13.2,1950000.0,450000,5500000
2526,3 Series,BMW,2012,39000,Petrol,Automatic,2,1995,154.0,5,12.05,1500000.0,450000,5500000
2527,NuvoSport N8,Mahindra,2017,37712,Diesel,Manual,1,1493,100.0,7,17.45,757000.0,35000,900000
2528,Ritz VXi,Maruti,2012,68000,Petrol,Manual,1,1197,85.8,5,18.5,440000.00000000006,25000,650000
2529,X6 xDrive,BMW,2016,25000,Diesel,Automatic,1,2993,308.43,5,15.87,6000000.0,590000,10400000
2530,Beat LT,Chevrolet,2010,30000,Petrol,Manual,1,1199,79.4,5,18.6,160000.0,16500,500000
2531,Swift Dzire,Maruti,2014,68218,Petrol,Manual,1,1197,85.8,5,19.1,490000.00000000006,39160,850000
2532,Ertiga ZDI,Maruti,2014,52000,Diesel,Manual,1,1248,88.8,7,20.77,595000.0,49850,1050000
2533,Duster 85PS,Renault,2015,63591,Diesel,Manual,1,1461,83.8,5,20.45,535000.0,35700,1250000
2534,Amaze VX,Honda,2014,57937,Petrol,Automatic,1,1198,86.7,5,15.5,540000.0,30310,889000
2535,A4 2.0,Audi,2015,21979,Diesel,Automatic,1,1968,174.33,5,17.11,2345000.0,275000,5000000
2536,Octavia Ambiente,Skoda,2002,99000,Diesel,Manual,2,1896,66.0,5,18.7,190000.0,140000,3000000
2537,Amaze E,Honda,2016,62000,Diesel,Manual,1,1498,98.6,5,25.8,610000.0,42830,889000
2538,Innova 2.5,Toyota,2006,127001,Diesel,Manual,1,2494,102.0,8,12.8,495000.0,85000,2000000
2539,EON D,Hyundai,2013,84600,Petrol,Manual,2,814,55.2,5,21.1,250000.0,25000,400000
2540,redi-GO T,Datsun,2018,30953,Petrol,Manual,1,799,53.64,5,22.7,348000.0,20000,500000
2541,Swift VDI,Maruti,2012,78000,Diesel,Manual,1,1248,74.0,5,22.9,440000.00000000006,39160,775000
2542,Pajero 2.8,Mitsubishi,2008,85000,Diesel,Manual,1,2835,118.6,6,9.5,799000.0,200000,3000000
2543,S80 D5,Volvo,2008,79000,Diesel,Automatic,1,2400,215.0,5,13.1,1099000.0,200000,4700000
2544,Fortuner 4x2,Toyota,2014,79000,Diesel,Automatic,1,2982,168.5,7,12.55,1850000.0,180000,4500000
2545,Compass 2.0,Jeep,2018,48188,Diesel,Manual,1,1956,170.0,5,16.3,2169000.0,53350,2570000
2546,Swift Dzire,Maruti,2014,67557,Diesel,Manual,1,1248,74.0,5,23.4,517000.0,39160,850000
2547,Verna 1.6,Hyundai,2011,103814,Diesel,Manual,2,1582,126.32,5,22.32,450000.0,37450,1425000
2548,Scorpio VLX,Mahindra,2014,45128,Diesel,Manual,1,2179,120.0,8,12.05,675000.0,60000,1500000
2549,i10 Era,Hyundai,2013,56075,Petrol,Manual,1,1086,68.05,5,19.81,312000.0,22600,725000
2550,Innova 2.5,Toyota,2011,166000,Diesel,Manual,1,2494,100.6,8,12.99,825000.0,85000,2000000
2551,Innova Crysta,Toyota,2017,65367,Diesel,Automatic,1,2755,171.5,7,11.36,2014000.0,55000,1999000
2552,Innova 2.5,Toyota,2013,114708,Diesel,Manual,1,2494,100.0,8,12.99,1260000.0,85000,2000000
2553,Swift Dzire,Maruti,2015,35082,Diesel,Manual,1,1248,74.0,5,23.4,661000.0,39160,850000
2554,Creta 1.6,Hyundai,2016,38593,Diesel,Automatic,1,1582,126.2,5,17.01,1323000.0,38536,1500000
2555,Innova 2.5,Toyota,2008,70700,Diesel,Manual,1,2494,100.0,8,12.99,475000.0,85000,2000000
2556,Vento Diesel,Volkswagen,2011,83000,Diesel,Manual,2,1598,103.6,5,20.54,290000.0,35484,1300000
2557,Tavera LS,Chevrolet,2015,120000,Diesel,Manual,1,2499,80.0,10,14.8,550000.0,30000,850000
2558,Ssangyong Rexton,Mahindra,2014,91586,Diesel,Automatic,2,2696,184.0,7,11.18,947000.0000000001,75000,2100000
2559,i10 Magna,Hyundai,2008,38235,Petrol,Manual,1,1197,78.9,5,20.36,195000.0,22600,725000
2560,i10 Sportz,Hyundai,2011,37000,Petrol,Manual,1,1197,78.9,5,20.36,220000.00000000003,22600,725000
2561,Santro Xing,Hyundai,2006,50888,Petrol,Manual,1,1086,74.0,5,17.0,114999.99999999999,26130,500000
2562,Amaze S,Honda,2013,44000,Petrol,Manual,2,1198,86.7,5,18.0,434999.99999999994,30310,889000
2563,Celerio ZXI,Maruti,2016,54000,Petrol,Automatic,1,998,67.04,5,23.1,450000.0,27930,620000
2564,Grand i10,Hyundai,2013,90000,Petrol,Manual,1,1197,82.0,5,18.9,355000.0,22600,725000
2565,Swift Dzire,Maruti,2015,35000,Diesel,Manual,1,1248,73.9,5,19.3,475000.0,39160,850000
2566,i10 Sportz,Hyundai,2012,47324,Petrol,Manual,2,1197,78.9,5,20.36,451999.99999999994,22600,725000
2567,X1 sDrive,BMW,2012,65148,Diesel,Automatic,1,1995,177.0,5,15.06,1275000.0,350000,5000000
2568,A4 2.0,Audi,2014,57773,Diesel,Automatic,2,1968,174.33,5,17.11,2004000.0,275000,5000000
2569,Terrano XL,Nissan,2014,87000,Diesel,Manual,1,1461,83.8,5,20.45,650000.0,60000,1200000
2570,Montero 3.2,Mitsubishi,2007,179032,Diesel,Manual,1,3200,199.3,7,11.56,750000.0,500000,6000000
2571,Wagon R,Maruti,2016,8000,Petrol,Automatic,1,998,67.0,5,22.5,415000.00000000006,27670,750000
2572,Civic 2006-2010,Honda,2007,77000,Petrol,Manual,1,1799,130.0,5,13.5,250000.0,36600,1425000
2573,i20 2015-2017,Hyundai,2016,20600,Petrol,Manual,1,1197,81.83,5,18.6,540000.0,27500,725000
2574,Alto K10,Maruti,2016,13198,Petrol,Manual,1,998,67.1,5,24.07,315000.0,20000,400000
2575,Q7 35,Audi,2015,21000,Diesel,Automatic,2,2967,241.4,7,12.07,5250000.0,345000,8000000
2576,i20 Sportz,Hyundai,2016,38000,Petrol,Manual,1,1197,81.83,5,18.6,595000.0,27500,725000
2577,Tiago AMT,Tata,2019,15379,Petrol,Automatic,1,1199,83.83,5,23.84,697000.0,20990,625000
2578,i10 Sportz,Hyundai,2011,60000,Petrol,Manual,1,1197,78.9,5,20.36,320000.0,22600,725000
2579,Santro Xing,Hyundai,2007,70000,Petrol,Manual,1,1086,74.0,5,0.0,112000.00000000001,26130,500000
2580,Duster 85PS,Renault,2013,75371,Diesel,Manual,1,1461,83.8,5,20.46,669000.0,35700,1250000
2581,Xenon XT,Tata,2014,60000,Diesel,Manual,2,2179,138.03,5,13.49,590000.0,35000,1000000
2582,i20 Magna,Hyundai,2009,30675,Petrol,Manual,1,1197,80.0,5,18.5,225000.0,27500,725000
2583,Swift Dzire,Maruti,2013,22000,Diesel,Manual,1,1248,74.0,5,23.4,450000.0,39160,850000
2584,EON Magna,Hyundai,2015,55000,Petrol,Manual,1,814,55.0,5,22.0,261000.0,25000,400000
2585,New C-Class,MercedesBenz,2010,74213,Diesel,Automatic,1,2143,170.0,5,14.84,1150000.0,650000,7000000
2586,Cooper Convertible,Mini,2016,15000,Petrol,Automatic,1,1998,189.08,4,16.82,3500000.0,350000,4500000
2587,Nano Cx,Tata,2010,57000,Petrol,Manual,1,624,35.0,4,26.0,50000.0,12000,250000
2588,Ciaz ZDi,Maruti,2015,62144,Diesel,Manual,2,1248,88.5,5,26.21,575000.0,32235,1030000
2589,Verna CRDi,Hyundai,2017,50000,Diesel,Manual,1,1582,126.2,5,22.0,1150000.0,37450,1425000
2590,EON Era,Hyundai,2015,38000,Petrol,Manual,1,814,55.2,5,21.1,275000.0,25000,400000
2591,5 Series,BMW,2016,30000,Diesel,Automatic,2,1995,190.0,5,18.12,3150000.0,500000,7200000
2592,Brio S,Honda,2016,38735,Petrol,Manual,1,1198,86.8,5,19.4,492000.0,25000,500000
2593,Ritz VDi,Maruti,2012,23598,Diesel,Manual,1,1248,73.94,5,23.2,352000.0,25000,650000
2594,3 Series,BMW,2014,70000,Diesel,Automatic,1,1995,184.0,5,18.88,1755000.0,450000,5500000
2595,Swift Dzire,Maruti,2016,39000,Diesel,Manual,1,1248,74.0,5,26.59,580000.0,39160,850000
2596,Swift Dzire,Maruti,2013,84175,Diesel,Manual,1,1248,74.0,5,23.4,695000.0,39160,850000
2597,Scala RxL,Renault,2013,45000,Petrol,Manual,1,1498,97.6,5,16.95,240000.0,30000,800000
2598,Cruze LTZ,Chevrolet,2013,59302,Diesel,Automatic,1,1998,163.7,5,14.39,525000.0,40000,1500000
2599,Swift Dzire,Maruti,2012,55002,Petrol,Manual,1,1298,85.8,5,17.5,425000.0,39160,850000
2600,Indigo CS,Tata,2008,128813,Diesel,Manual,1,1396,69.0,5,19.09,150000.0,30000,600000
2601,Grand i10,Hyundai,2016,46522,Diesel,Manual,1,1120,70.0,5,24.0,450000.0,28000,725000
2602,Indica Vista,Tata,2014,180000,Diesel,Manual,1,1248,74.0,5,22.3,250000.0,25000,500000
2603,Fiesta 1.4,Ford,2006,89326,Diesel,Manual,3,1399,68.0,5,17.8,155000.0,35000,900000
2604,Duster 85PS,Renault,2016,54000,Diesel,Manual,1,1461,83.8,5,19.87,650000.0,35700,1250000
2605,Grand i10,Hyundai,2015,66337,Diesel,Manual,1,1120,70.0,5,24.0,496000.0,28000,725000
2606,Brio S,Honda,2012,60000,Petrol,Manual,1,1198,86.8,5,19.4,325000.0,25000,500000
2607,A4 1.8,Audi,2010,38001,Petrol,Automatic,1,1781,163.2,5,12.3,850000.0,250000,5000000
2608,Alto 800,Maruti,2014,73000,Petrol,Manual,2,796,47.3,5,24.7,275000.0,20000,400000
2609,Verna Transform,Hyundai,2011,61000,Petrol,Manual,2,1599,103.2,5,16.2,340000.0,33350,1425000
2610,Ertiga ZDI,Maruti,2013,120000,Diesel,Manual,1,1248,88.8,7,20.77,700000.0,49850,1050000
2611,Optra Magnum,Chevrolet,2012,71787,Petrol,Manual,1,1598,102.5,5,12.9,321000.0,27000,800000
2612,Creta 1.6,Hyundai,2016,11554,Diesel,Manual,1,1582,126.2,5,19.67,1425000.0,38536,1500000
2613,Vento 1.5,Volkswagen,2014,90000,Diesel,Manual,1,1498,103.2,5,20.34,650000.0,35484,1300000
2614,City i,Honda,2014,48104,Petrol,Manual,1,1497,117.3,5,17.4,549000.0,36600,1425000
2615,Getz GLS,Hyundai,2005,91000,Petrol,Manual,3,1341,83.0,5,16.8,80000.0,25000,460000
2616,Santro Xing,Hyundai,2007,58815,Petrol,Manual,1,1086,74.0,5,17.0,199000.0,26130,500000
2617,Grand i10,Hyundai,2015,33931,Petrol,Automatic,2,1197,82.0,5,18.9,591000.0,22600,725000
2618,Grand i10,Hyundai,2019,13916,Petrol,Manual,1,1197,81.86,5,18.9,644000.0,22600,725000
2619,Wagon R,Maruti,2012,90400,CNG,Manual,1,998,58.2,5,26.2,290000.0,27670,750000
2620,Grand i10,Hyundai,2015,14000,Petrol,Manual,1,1197,82.0,5,18.9,459999.99999999994,22600,725000
2621,Swift VDI,Maruti,2007,121000,Diesel,Manual,2,1248,74.0,5,17.8,235000.0,39160,775000
2622,i20 Asta,Hyundai,2016,17560,Petrol,Manual,1,1197,81.83,5,18.6,721000.0,27500,725000
2623,Duster 85PS,Renault,2016,60000,Diesel,Manual,1,1461,83.8,5,19.87,800000.0,35700,1250000
2624,Swift Dzire,Maruti,2009,88096,Diesel,Manual,2,1248,73.9,5,19.3,350000.0,39160,850000
2625,Innova 2.5,Toyota,2008,178280,Diesel,Manual,1,2494,102.0,8,12.8,590000.0,85000,2000000
2626,Nano Twist,Tata,2015,19963,Petrol,Manual,2,624,37.5,4,25.4,174000.0,12000,250000
2627,Figo 2015-2019,Ford,2019,1000,Petrol,Manual,1,1196,86.8,5,18.12,680000.0,34697,700000
2628,i20 1.2,Hyundai,2017,8000,Petrol,Manual,1,1197,81.83,5,18.6,750000.0,27500,725000
2629,BRV i-VTEC,Honda,2016,9200,Petrol,Manual,1,1497,117.3,7,15.4,800000.0,65000,1200000
2630,Amaze S,Honda,2015,29000,Diesel,Manual,1,1498,98.6,5,27.4,599000.0,42830,889000
2631,Creta 1.6,Hyundai,2017,27000,Diesel,Manual,1,1582,126.2,5,19.67,1290000.0,38536,1500000
2632,Baleno Zeta,Maruti,2018,22900,Petrol,Manual,1,1197,83.1,5,21.4,700000.0,32000,825000
2633,Q5 2.0,Audi,2014,50000,Diesel,Automatic,1,1968,174.3,5,14.16,3500000.0,310000,6000000
2634,Amaze S,Honda,2015,60207,Diesel,Manual,1,1498,98.6,5,25.8,550000.0,42830,889000
2635,X5 3.0d,BMW,2010,101119,Diesel,Automatic,1,2993,235.0,5,11.0,1846000.0,525000,9500000
2636,Figo Petrol,Ford,2010,42000,Petrol,Manual,1,1196,70.0,5,15.6,240000.0,34697,700000
2637,Wagon R,Maruti,2002,93000,Petrol,Manual,3,998,67.1,5,18.9,100000.0,27670,750000
2638,i10 Era,Hyundai,2012,60000,Petrol,Manual,2,1086,68.05,5,19.81,265000.0,22600,725000
2639,Rapid 1.5,Skoda,2015,66122,Diesel,Automatic,1,1498,103.52,5,21.66,596000.0,35130,1200000
2640,Panamera Diesel,Porsche,2015,25100,Diesel,Automatic,1,2967,300.0,4,17.85,7500000.0,1500000,22000000
2641,CLA 200,MercedesBenz,2017,24733,Petrol,Automatic,1,1991,183.0,5,15.04,2715000.0,300000,5000000
2642,A6 2.8,Audi,2008,41000,Petrol,Automatic,2,2773,201.0,5,10.4,1050000.0,350000,6500000
2643,Ciaz ZXi,Maruti,2015,30000,Petrol,Manual,1,1373,91.1,5,20.73,670000.0,32235,1030000
2644,Ecosport 1.5,Ford,2013,36000,Diesel,Manual,1,1498,89.84,5,22.7,490000.00000000006,47435,1100000
2645,Bolero mHAWK,Mahindra,2017,40279,Diesel,Manual,1,1493,70.0,7,16.5,800000.0,40000,1000000
2646,Alto K10,Maruti,2018,46805,Petrol,Manual,1,998,67.1,5,24.07,363000.0,20000,400000
2647,Swift Dzire,Maruti,2015,60000,Petrol,Manual,1,1197,85.8,5,17.5,480000.0,39160,850000
2648,Zest Revotron,Tata,2017,100000,Petrol,Manual,1,1193,88.7,5,17.57,425000.0,30000,800000
2649,Endeavour 3.2,Ford,2018,51530,Diesel,Automatic,1,3198,197.2,7,10.91,3027000.0,1500000,3600000
2650,New C-Class,MercedesBenz,2013,81456,Diesel,Manual,1,2148,170.0,5,15.8,1425000.0,650000,7000000
2651,i10 Sportz,Hyundai,2012,37229,Petrol,Automatic,1,1197,78.9,5,16.95,341000.0,22600,725000
2652,City 1.5,Honda,2009,73200,Petrol,Manual,1,1497,118.0,5,17.0,278000.0,36600,1425000
2653,Octavia Elegance,Skoda,2015,71826,Diesel,Automatic,1,1968,141.0,5,19.3,1550000.0,140000,3000000
2654,Indica V2,Tata,2017,129000,Diesel,Manual,1,1396,69.0,5,25.0,300000.0,25000,500000
2655,Wagon R,Maruti,2012,82000,Petrol,Manual,1,998,67.1,5,18.9,229999.99999999997,27670,750000
2656,Creta 1.6,Hyundai,2017,40459,Diesel,Manual,1,1582,126.2,5,19.67,1328000.0,38536,1500000
2657,A-Star Lxi,Maruti,2009,61964,Petrol,Manual,1,998,66.1,5,19.0,225000.0,20000,400000
2658,Wagon R,Maruti,2011,15466,Petrol,Manual,1,998,67.04,5,22.5,336000.0,27670,750000
2659,Mobilio E,Honda,2014,23000,Petrol,Manual,1,1497,117.3,7,17.3,425000.0,40000,1000000
2660,i10 Magna,Hyundai,2012,43766,Petrol,Manual,1,1197,78.9,5,20.36,430000.0,22600,725000
2661,Superb 3.6,Skoda,2010,54000,Petrol,Automatic,1,3597,262.6,5,0.0,600000.0,250000,5400000
2662,i20 1.4,Hyundai,2018,18521,Diesel,Manual,1,1396,88.73,5,22.54,918000.0,27500,725000
2663,Celerio ZXI,Maruti,2017,26400,Petrol,Manual,1,998,67.04,5,23.1,499000.0,27930,620000
2664,Laura 1.8,Skoda,2011,31900,Petrol,Manual,1,1798,157.8,5,13.4,375000.0,75000,1700000
2665,Figo Diesel,Ford,2010,39000,Diesel,Manual,1,1399,68.0,5,20.0,250000.0,34697,700000
2666,Jazz 1.5,Honda,2016,45671,Diesel,Manual,1,1498,98.6,5,27.3,720000.0,44148,900000
2667,E-Class 2015-2017,MercedesBenz,2016,39500,Diesel,Automatic,1,2143,204.0,5,15.0,2950000.0,600000,8000000
2668,GLA Class,MercedesBenz,2015,54000,Diesel,Automatic,1,2143,136.0,5,17.9,1755000.0,500000,5500000
2669,S60 D3,Volvo,2012,20000,Diesel,Automatic,1,1985,163.0,5,18.5,1200000.0,200000,4600000
2670,A8 L,Audi,2009,55000,Diesel,Automatic,1,2967,246.7,5,11.8,1350000.0,375000,14200000
2671,Verna 1.6,Hyundai,2014,48000,Diesel,Automatic,1,1582,126.32,5,22.32,509999.99999999994,37450,1425000
2672,3 Series,BMW,2011,70000,Diesel,Automatic,1,1995,190.0,5,22.69,1030000.0000000001,450000,5500000
2673,Verna 1.6,Hyundai,2014,62000,Diesel,Manual,1,1582,126.32,5,22.32,570000.0,37450,1425000
2674,Wagon R,Maruti,2014,41994,Petrol,Manual,1,998,67.04,5,22.5,341000.0,27670,750000
2675,Figo Diesel,Ford,2010,108882,Diesel,Manual,2,1399,68.0,5,20.0,240000.0,34697,700000
2676,KUV 100,Mahindra,2017,24806,Petrol,Manual,1,1198,82.0,6,18.15,560000.0,30000,700000
2677,Indigo LS,Tata,2006,160000,Diesel,Manual,1,1405,70.0,5,17.0,100000.0,30000,600000
2678,TUV 300,Mahindra,2017,30000,Diesel,Automatic,1,1493,100.0,7,18.49,819999.9999999999,40000,900000
2679,Q3 35,Audi,2015,51000,Diesel,Automatic,1,1968,181.0,5,15.17,2750000.0,225000,3500000
2680,Wagon R,Maruti,2015,64876,Petrol,Manual,1,1197,81.8,5,21.5,350000.0,27670,750000
2681,Celerio CNG,Maruti,2016,70536,CNG,Manual,1,998,58.33,5,31.79,458000.0,33730,673500
2682,Vitara Brezza,Maruti,2017,25299,Diesel,Manual,1,1248,88.5,5,24.3,1034000.0,39170,1125000
2683,Scorpio DX,Mahindra,2006,89869,Diesel,Manual,1,2609,116.6,8,12.7,325000.0,60000,1500000
2684,Tucson CRDi,Hyundai,2007,103515,Diesel,Manual,3,1991,112.0,7,12.6,500000.0,100000,3200000
2685,Santro Xing,Hyundai,2008,68282,Petrol,Manual,1,1086,62.1,5,17.92,225000.0,26130,500000
2686,Panamera Diesel,Porsche,2014,60033,Diesel,Automatic,1,2967,250.0,4,18.18,5152000.0,1500000,22000000
2687,Vitara Brezza,Maruti,2018,51921,Diesel,Manual,1,1248,88.5,5,24.3,861999.9999999999,39170,1125000
2688,Swift Dzire,Maruti,2017,18414,Diesel,Manual,1,1248,74.0,5,23.4,725000.0,39160,850000
2689,Amaze V,Honda,2016,40866,Petrol,Manual,1,1199,86.76,5,19.5,547000.0,30310,889000
2690,XF 2.2,Jaguar,2014,55001,Diesel,Automatic,1,2179,187.7,5,16.36,3100000.0,350000,6200000
2691,Cooper Convertible,Mini,2017,20469,Petrol,Automatic,1,1998,189.08,4,16.82,3597999.9999999995,350000,4500000
2692,EON Era,Hyundai,2017,8500,Petrol,Manual,1,814,55.2,5,21.1,342000.0,25000,400000
2693,A6 3.0,Audi,2008,45000,Diesel,Automatic,2,2967,241.38,5,16.77,1150000.0,375000,6500000
2694,i20 Active,Hyundai,2016,6000,Petrol,Manual,1,1197,81.86,5,17.19,725000.0,27500,725000
2695,Swift AMT,Maruti,2018,11000,Diesel,Manual,1,1248,74.0,5,28.4,800000.0,39160,775000
2696,Ecosport 1.5,Ford,2015,80064,Diesel,Manual,1,1498,89.84,5,22.7,733000.0,47435,1100000
2697,Wagon R,Maruti,2016,29930,Petrol,Manual,1,998,67.1,5,18.9,335000.0,27670,750000
2698,Vento 1.5,Volkswagen,2013,49105,Diesel,Manual,1,1498,103.2,5,20.34,440000.00000000006,35484,1300000
